시도,시군구,2010_사고[건],2010_사망[명],2010_부상[명],2010_(중상자[명]),2011_사고[건],2011_사망[명],2011_부상[명],2011_(중상자[명]),2012_사고[건],2012_사망[명],2012_부상[명],2012_(중상자[명]),2013_사고[건],2013_사망[명],2013_부상[명],2013_(중상자[명]),2014_사고[건],2014_사망[명],2014_부상[명],2014_(중상자[명])
합계,수원시,603,2,1141,251,646,6,1190,273,724,5,1364,253,646,4,1215,264,586,12,1063,200
합계,성남시,421,8,792,258,450,12,817,271,498,6,890,277,391,6,745,215,375,8,684,225
합계,의정부시,219,5,388,72,195,4,376,68,184,5,333,63,193,7,361,60,165,1,317,45
합계,안양시,289,2,518,124,288,5,520,108,287,3,519,87,276,2,546,124,214,6,392,94
합계,부천시,420,3,783,211,411,2,805,212,358,6,690,170,350,1,651,148,281,5,518,127
합계,안산시,473,5,901,237,530,15,1004,273,563,15,1068,236,466,2,888,188,458,5,872,167
합계,평택시,336,22,566,175,320,15,600,175,325,6,639,141,309,7,579,159,260,7,476,82
합계,광명시,99,2,163,33,103,1,178,37,108,0,207,39,90,0,175,46,87,0,170,35
합계,구리시,111,3,195,54,101,3,167,40,106,5,208,33,110,0,199,37,81,0,161,27
합계,양주시,127,3,221,63,128,9,221,47,124,2,213,55,116,6,196,52,102,1,187,33
합계,여주시,74,2,115,48,63,7,108,39,73,5,132,58,77,8,152,44,69,3,110,36
합계,화성시,361,11,643,208,415,5,778,191,376,14,674,158,365,11,676,174,289,9,511,125
합계,시흥시,461,10,821,220,411,11,769,161,451,11,846,183,335,8,591,138,308,8,587,106
합계,파주시,199,5,375,124,282,11,523,170,225,2,390,123,229,5,396,109,211,3,367,118
합계,고양시,539,14,1021,304,465,4,859,230,507,5,888,250,451,2,828,221,460,7,789,198
합계,광주시,164,8,311,91,178,6,307,78,199,4,349,107,173,2,306,84,156,5,260,70
합계,연천군,29,3,48,14,19,1,30,2,11,1,19,7,17,0,31,8,17,5,29,11
합계,포천시,178,8,314,116,163,11,279,64,129,7,232,40,167,8,300,80,145,9,301,67
합계,가평군,53,1,124,39,38,0,82,15,42,1,93,26,44,1,72,19,45,2,97,34
합계,양평군,79,10,134,53,84,4,156,51,75,6,118,39,82,7,133,42,45,4,79,15
합계,이천시,215,4,399,117,208,4,367,81,217,7,363,76,152,3,287,51,146,3,248,50
합계,용인시,534,6,1033,329,500,8,895,310,487,6,915,285,444,8,798,256,379,6,634,172
합계,안성시,161,5,291,81,146,8,244,75,149,7,265,78,141,7,226,88,104,4,177,66
합계,김포시,179,7,311,106,158,2,278,97,173,5,320,98,170,2,299,97,162,3,259,70
합계,동두천시,60,3,96,27,52,1,101,17,63,1,131,36,44,1,89,15,43,2,86,18
합계,과천시,29,0,50,16,30,1,57,9,21,0,41,15,24,0,37,14,26,0,58,20
합계,군포시,91,0,160,39,103,1,175,30,89,2,159,40,88,1,142,43,74,0,140,31
합계,남양주시,346,5,618,191,331,13,656,164,288,13,532,127,303,11,562,104,215,7,377,70
합계,오산시,143,4,258,81,148,1,267,73,132,4,219,50,148,2,252,60,128,5,258,71
